subnum,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q41_First Click,Q41_Last Click,Q41_Page Submit,Q41_Click Count,Q1 RP1,Q2 RP2,Q3 RP3,Q4 RP4,Q5 RP5,Q6 RP6,Q7 RP7,Q8 RN1,Q9 RN2,Q10 RN3,Q11 RN4,Q12 RN5,Q13 RN6,Q14 RN7,Q15 LP1,Q16 LP2,Q17 LP3,Q18 LP4,Q19 LP5,Q20 LP6,Q21 LP7,Q22 LN1,Q23 LN2,Q24 LN3,Q25 LN4,Q26 LN5,Q27 LN6,Q28 LN7,Q42_First Click,Q42_Last Click,Q42_Page Submit,Q42_Click Count,age,gender,gender_3_TEXT,tech,comments,hitId,assignmentID,workerId,country,confirmation_code
234,12/23/20 8:49,12/23/20 8:55,0,100,343,1,12/23/20 8:55,R_1OK07udSXwZIP2K,anonymous,EN,0,0,8.59,0,,,,,,,,"20C1505,16C667,17C588,21C703,23X1437,18C756,26C1291,24C836,17C657,15C687,15C516,19C567,22C679,25C597,26C737,22C666,23C815,20C714,24X1196,18C891,END","7X2957,13C1470,12X1856,10C867,10C565,5C1114,4C781,9C851,9C531,7C975,1C1189,2C1342,1C795,3C785,4C778,13C713,8C882,6X1319,11C1534,14C709,END","14C1791,23C1010,7C1190,26C1127,2C1252,20C936,11C773,24C932,12X1882,19C1569,5C1280,17C1133,4C1023,18C980,10C1211,21C873,13C1022,25C1343,3C1113,15C898,END","7C1978,19C919,5C1212,24C1171,12X1251,23X2667,14C2445,20C1227,12X1939,21C1383,8C1278,18C1042,6X2131,20C995,10C1222,15C798,2C1105,24C902,4C796,16C877,3C1200,26X1877,9C1359,21C804,5C988,16C917,3C1045,22C881,11C1046,25C1549,13C987,26C1019,6C1346,15C1006,13C1110,19C1199,10C1133,17C774,1C1099,22C925,END","21C1166,20C758,16C635,17C696,25C680,18C923,19C862,16C640,24C716,18C716,20C757,21C656,15C794,26X1685,18C1040,25C885,26C724,26C549,18C779,15C894,16C648,15C637,25C666,24C683,19C755,17C695,15C736,22C692,21C610,23C758,17C765,23C745,22C794,26C776,22C787,19C699,20C676,21C701,24C740,23C835,END","8C2498,19C1290,11C1382,23C1919,14C929,22C914,4C1248,17C746,7C737,25C946,3C1475,15C1221,9C1068,24C940,2X1850,16C971,5C1084,21C1007,12C822,18C1151,END","7X2473,25C1078,3X2376,26X2466,9X3648,20C1237,6C1758,16C685,10C1070,21C857,5C1399,23C1190,1C981,21C1360,8C1609,23C1250,1C1647,17C856,10C1273,26X2258,6C1713,15C941,9C1795,22C781,14C819,19C1057,12X2524,24C1330,4C1108,18C1252,13C1078,17C1734,11C1222,16C994,2C1280,24C894,8C1258,15C1002,3C1025,19C745,END",,,,,,,,,,,,,,,2.328,17.24,22.785,5,60,1,,I had no issues,not at this time,,,anonymized,,8250473
235,12/23/20 8:47,12/23/20 8:55,0,100,481,1,12/23/20 8:55,R_UYJupiXvRnzoRu9,anonymous,EN,0,0,9.439,0,"22C4447,19C1232,16C1503,20C1828,22C1216,17C1066,19C1515,25C1306,21C1101,26C1283,25C1416,18C865,24C915,21C1071,15C936,15C1140,23C1098,18C913,24C935,17C999,END","10C1551,13C1381,12X3257,9C2163,6X4865,14C1375,1C2063,7C1764,6C1269,11C1666,14C978,8C1647,1C1071,13C1076,7C1072,3X1577,5C1574,4C1451,11X2084,2C1620,END","2C2607,21C1288,6C3239,16C1739,10C2875,22C1183,14C2194,17C1347,1X2786,23C2101,13C1531,25C1698,7C1777,19C2354,12X2666,15C1573,9C1491,18C1435,3C2357,24C1065,END","14C1535,25C1733,5C2942,21C1029,3C1748,16C1890,9C2835,23C1728,4C3121,22C1047,2C1826,24C1628,13C1626,26C1354,8C1940,19C1256,12C2281,26C1344,11C2558,25C2476,11C1499,23C1753,3C1155,20C1291,2C2128,20C1392,6C2618,16C1688,1C1537,22C1094,10C2209,17C1114,7C1777,17C1407,8C2634,15C1360,13C2632,18C1108,5C1401,15C1392,END","23C4000,17C1119,15C1732,20C1294,21C1184,15C2190,23C1086,15C1057,19C1354,23C1125,15C985,17C1145,18C2114,26C1345,25C1088,20C974,19C1272,26C1101,18C1379,22C873,24C1493,17C948,18C1523,17X2380,22C1822,26C1568,25C2433,19C1076,16C1134,21C1104,20C1084,21C1118,24C1092,16C1249,23C1301,24C1188,16C1051,24C995,25C1083,22C1093,END","10C1582,15C1760,8C1633,24C964,6C2002,21C2066,11X2959,22C1320,5C1349,20C1152,12C2549,23C1521,1C2556,25C2377,13C1522,16C1641,4C2300,19C1324,2C1962,18C1107,END","5C1263,20C1228,4C3901,17C1088,5C1693,19C1068,12X2009,18C1260,11X3200,26C2643,7C1199,21C1705,13C1432,19C1347,1C1762,25X1972,14C2364,20C1492,3C2345,24C1253,7C2555,24C1222,11X2507,18C1097,6X3510,15C1998,8C2705,16C1166,13C1248,23X3685,9C4228,21C1286,2C1322,15C1032,10C1283,25C2309,10C1191,22C1149,3C1442,22C1053,END",,,,,,,,,,,,,,,,,,,,,,2.088,8.168,10.893,3,62,2,,,fun,,,anonymized,,6627171
236,12/23/20 8:41,12/23/20 8:56,0,100,883,1,12/23/20 8:56,R_3NOMa7vAR219brN,anonymous,EN,0,0,20.741,0,"20X2101,22X1806,23X4069,15C1183,24C1349,15C1029,26C1061,20C995,25C1068,19C1065,19C686,21C934,18C869,17C830,16C1157,26C909,25C766,18C902,23C1141,22X1781,END","9C1703,1X2469,8C1094,14X1301,2C877,8X1766,6C1366,4C1404,13C844,5C1074,10C1366,6C1310,5C1172,9C893,1X2549,3C1205,7C1014,12X1819,11C1637,11C636,END","2C2087,25C950,8C1094,26C1055,10C1204,23C1072,7C795,24X1854,14C997,16C709,9C2317,18C1013,1C2301,15C837,12C927,17C810,6C1069,20C1229,4C942,21X1573,END","14C1310,24X3085,12C1389,25C1694,3C1246,16C1054,4C1150,21C1214,6C1341,23X2061,11X1653,19C789,11C804,23C1118,7C750,15C773,1C814,20C765,10C870,16C718,13C1003,17C828,8C989,17C789,7C718,18C813,2C1157,15C732,8C837,25C1309,9C1286,22C1294,5C766,22C758,4C1557,20C702,3C1229,26C893,10C750,21C877,END","15C1487,22C1157,18C662,24C1190,23X1334,20C806,15C605,16C926,21C838,17C661,26C1005,19C766,16C773,22C893,25C1045,23X1333,17C692,25C845,18C724,25C864,26C994,22C790,15C718,16C1102,24C845,17C757,26C790,25X1469,19C797,20C717,21C1005,20C868,23C765,21X1316,18C1023,19C757,24C846,16C654,19C814,23C981,END","13C1207,21C933,14C1086,20C901,6C1335,18C1027,3C1176,24C1339,12C1677,26X1948,10C1557,15C1029,4C854,19C1102,11C1646,23C1694,1C1052,22C1574,7C1156,17C1125,END","4C1176,26X1316,3C733,19X1380,11X1526,16C1397,10C1005,24C941,8C941,17C934,8C1229,21C869,11C1670,16X1917,13C957,15C1182,6X1573,26C957,7C941,22C845,3C862,18X1500,7C1038,15X1695,2C1258,25C1118,5C1125,19C1751,9C1045,23X1501,10C941,25C1117,12X1517,20C1061,1C902,24C1012,14C1046,17C990,2C1053,23X1901,END",,,,,,,,,,,,,,,,,,,,,,1.918,6.347,12.8,3,32,1,,,,,,anonymized,,8290766
237,12/23/20 8:48,12/23/20 8:56,0,100,506,1,12/23/20 8:56,R_2w5NrYwJUxg2Qaq,anonymous,EN,0,0,16.3,0,"26X4473,24C1112,20X1890,16C1070,25C908,19C885,17C955,26C940,15X2064,16C793,21C1093,18C790,23C1294,20C677,25X1787,15X1953,22X2324,21X2148,22C2190,18C839,END","6X3015,10X2242,13C1930,11X1739,5C1077,7X1815,9X1658,4X1675,14X1542,12C1187,1C972,13C1354,10X1733,4C1106,8X1494,2C1139,9X2828,3X1597,5X2444,6C1363,END","11X1938,23X1990,2C745,26X1822,12X2445,17C992,4C1525,16C860,7X1816,22C969,9X2093,15X1631,13C1824,24C1362,6C936,19C1128,3C1377,20C862,14X1969,25C1323,END","10X2543,17C896,4C1511,17C1393,9C1271,24C1217,7C1617,21C1051,8C1293,24X2358,13C1033,20C734,1C964,20C765,4X1594,18C834,3X1452,16C849,6X1785,25C1243,12C1056,21C872,3C906,15X1433,14C895,23X1369,11X1303,25C1051,5C890,19C812,2X1259,18C855,12C768,22X1470,13C922,26X1534,5C902,15X1423,14C1230,26X1637,END","20X2087,26C3840,23C990,18C879,21C949,17C706,15X1342,25X1193,19C848,20C1448,25C779,18C1571,25C941,19C988,25C777,24C1073,19C820,21C811,15X1252,17C749,22C824,26X1475,16C729,20X1434,18C752,15X1273,17C748,22C771,21C786,24C929,23C742,22C871,23C686,21C698,19C932,16C662,17C706,16C628,24X1188,26X1750,END","1C2640,24X1582,8X1943,15C2065,6C1295,18C1825,13X1711,19C717,14X1648,21C1033,5X1587,23C922,2C987,26C1320,7X1686,20C687,9X1375,16C740,10C1107,22C973,END","3C1058,18C846,5C1055,17C1245,12X1792,15C973,8X1692,15X1806,11C1014,17C861,8C894,19C957,10C802,20C853,1C951,26X1407,13C1163,26X1120,1X1504,25X1415,4X1157,21C819,7C969,22C896,13X2002,23X1388,9C946,16C902,4X1199,25C1397,6C855,24C721,2X1510,21C748,12X1626,20C972,14C745,16C746,5C730,24C1058,END",,,,,,,,,,,,,,,,,,,,,,2.128,6.956,9.488,4,37,2,, none,,,,anonymized,,8918379
238,12/23/20 8:48,12/23/20 8:56,0,100,492,1,12/23/20 8:56,R_3hseOueojDbi75r,anonymous,EN,0,0,22.162,0,"18C2159,21C3094,24C1837,23X3454,23C998,26C2525,19C1053,16C1036,25C1062,25C910,24C1222,16C958,17C909,15C1294,22C1157,18C925,17C1069,20C1222,26C1237,15C1254,END","7C1120,8C1421,4C1709,1X2556,3C1916,9C1271,12C1261,6X3550,2C1845,1X2198,7C2436,13C1174,5C1276,14C966,12C1165,14C1206,11C1245,8C1334,5C1190,10C1006,END","1X4047,20C1214,2X3877,18C1181,4C1941,25C1285,7C1054,23C2766,14C1221,26C1246,10C1182,17C1158,3C1957,19C1054,13C1486,21C1118,11C1134,24C1269,12C2469,16X3279,END","12C1200,25C1414,13C1660,21C1012,6C1979,26C1269,10C1182,18C1125,13C1453,15C1565,1X2829,17C989,5C1765,24C1014,8C2614,26C1190,6C1878,17C1134,10C1286,20C1069,11C1062,16X3374,7C1261,19C1158,8C1334,20C942,9C1133,16C2109,14C1197,23C1805,4C1164,15X3085,2C1430,21C1061,4C1134,23C1102,3C3150,22C1046,7C1077,24C949,END","19C1824,18C1039,17C1030,20C1310,21C1013,16C1086,24C957,16C966,24C910,25C1597,20C1021,18C1021,26C1237,23C1046,17C927,21C877,25C1262,20C926,24C845,25C1006,23C1045,22C1022,15C1109,18C925,16C1005,26C1061,15C1213,19C942,20C1046,26C1014,21C893,22C956,15C982,21C886,23C958,25C1038,19C1014,17C822,22C845,15C1036,END","13C2526,24C1030,9C1693,22C1053,6C2589,18C949,2C1404,17C949,11C1949,20C1438,14C2069,25C1365,1X2734,19C957,4C1302,21C1021,5C1117,16C973,10X3188,26C1037,END","6C1463,23X2989,9C1421,17C901,13C1485,23X2821,2C1382,16C1173,10C2125,19C1022,8C1565,17C980,7C1021,25C1045,2C1110,22C886,9C1181,25C1102,3C1237,20C950,11C1238,19C989,1X2677,15C1534,5C972,26C1245,14C1188,18C869,12X3660,16C934,11C1037,15C1237,10C1109,21C917,7C989,22C933,5C981,26C1005,4C1061,24C974,END",,,,,,,,,,,,,,,,,,,,,,3.347,18.678,40.721,3,50,2,,,"A very interesting experiment, I have enjoyed doing it. ",,,anonymized,,4307218
239,12/23/20 8:51,12/23/20 8:56,0,100,302,1,12/23/20 8:56,R_27x0D3FjphJoSU2,anonymous,EN,0,0,11.507,0,,,,,,,,,,,,,,,"17C681,15C109,22C8,19C230,22X214,15X301,26X191,19X454,24C71,25C71,20X183,24X289,21X242,16C133,25X482,20C116,23X943,18C27,16C506,21X369,END","10X1086,7X251,11X159,9X370,10X197,3X269,6C55,1X76,12X238,3X260,6C8,11X39,2C180,8C198,13X235,1C1,14X348,5C87,8X155,4C208,END","11X418,19C358,1C250,26X148,2X223,23X240,5X303,24X251,8C77,15X249,9C70,17X20,14X37,16C18,13C30,25X167,6C99,22X331,3X285,18C97,END","6C389,17C636,12C240,24X298,8X324,26X227,10X180,19C19,9X340,17C106,1C316,18C175,14X593,25X575,10X225,16X306,7X170,25X391,4C39,16C259,5C161,21X511,3X959,18C278,2C201,19C169,13X313,21X205,13C248,20X237,4C138,22X240,1X296,24X749,14C68,23C66,3X284,22X129,11C60,15C38,END","26C284,25C120,26C442,25C457,25C378,26C417,20X489,23C500,21C356,18X487,21C321,15X352,21X106,23C144,17X446,17X393,19X264,17X190,25X421,19X326,24C11,20X229,16C72,15C86,19C129,22C0,19X356,22C148,15X338,24C18,20X387,18C181,16X289,26C10,22C314,23C122,18X370,16C409,17C151,24X327,END","10X1499,18X169,3C140,19X190,13X168,24C70,5C117,22C190,1C40,16X218,14C70,23X268,2C12,25C47,9X200,17C139,4C9,15X198,11C128,26X274,END","10X487,26C10,13X280,23X294,1C58,15X190,11X197,22X311,2C79,16X268,14C191,17C57,7X301,20X221,8X295,18C113,8X125,26X299,4C99,17C57,6X251,19X306,9C91,18C60,5C9,23C128,3C82,24C128,12X218,20X114,7X282,16C3,3C99,25C99,13X236,25C21,5C82,24C75,11X310,21C177,END",,,,,,,,7.012,35.604,41.431,4,38,2,,nothing,good study,,,anonymized,,983375
240,12/23/20 8:52,12/23/20 8:57,0,100,300,1,12/23/20 8:57,R_3MrMzMHHIRu1oMV,anonymous,EN,1.629,2.486,8.237,2,"19C926,16X694,24C681,26X1150,23X1025,26C605,22C762,19C728,20C590,15C544,22X970,25C683,20X877,16C570,25C598,17C592,24X817,18C612,21C664,END","3C898,9X976,5C772,14C585,11C682,6C537,8X1067,11X1040,2C620,12C609,7C525,10C887,4C657,8C121,5C764,3X1225,1C626,7C666,13C620,9C595,END","10C868,23X1002,11X751,16C485,13C579,19C457,4X1173,20C650,12C390,22C666,7C576,25C788,3C613,26C421,6X531,17X847,1C598,21C537,14X891,15C599,END","6C699,15X766,7C467,17X834,11C502,25C343,10C675,23X714,5C507,25C516,6X672,17X722,8C574,16C608,14C515,19C562,12C518,18C455,8C546,20X798,9C601,21C639,3C540,18C503,7X742,26C743,2C577,22C529,13C2146,22X959,4C473,21C489,2X645,16X622,12C544,26X985,10C560,19X1047,1X999,24C597,END","23C720,26C801,16C481,25X704,19C1224,19C698,21C491,22C508,25C650,26X793,26C507,18X824,21C608,23X970,16C486,20C447,15C486,17C543,20X697,26C529,24C489,15X780,19X1100,16C1572,17C468,15C577,21X641,24C480,23X940,22C499,18X816,16C544,18X803,21C587,24X817,17C609,20C615,22C451,25X887,20C796,END","13C748,23C785,1X4335,16C1893,11X928,15C667,10C543,20C1444,5C15,26C856,12X1424,25C771,3X1152,17C699,6C644,19C585,14X971,22C654,7C818,24C570,END","13X1203,19X821,2X1215,21X1151,14C669,20C502,3X891,16X1131,11X994,23C636,7X1081,20C928,3C632,17C716,9X1053,21C762,10C601,22X1146,4X974,25C737,5X1345,19C728,9C504,22X657,8X972,16C590,1C491,26C1043,12X1230,15X959,2C612,18C576,6C501,24X1065,5X1045,26X949,14X992,17X850,12X1005,23C684,END",,,,,,,,,,,,,,,,,,,,,,2.345,5.194,11.817,3,50,2,,,,,,anonymized,,5871236
241,12/23/20 8:51,12/23/20 8:58,0,100,399,1,12/23/20 8:58,R_3PbgO7aoWAAEF7D,anonymous,EN,0,0,9.002,0,,,,,,,,,,,,,,,"22X4058,18X8674,19C1206,21C1206,15C1336,23C1846,26C1466,25C876,16C894,23C880,20C1230,17C830,26C880,15C882,25C846,22C1020,17C1224,20X1522,24C1222,16C1000,END","12C1978,5X3202,2C1326,9C1354,11C1498,9C1454,8C1092,11X1772,10C994,2C876,1X1974,1C1022,7C1350,13C1352,3C1500,8C1056,4X2274,5C1816,6C1130,14C1194,END","7C1100,22C1316,3C1166,23C1296,6C956,15C1340,11C2734,18X1728,13C2288,26C1016,1X2134,24C2668,12C894,17C986,8C968,20C1112,4X2310,25C1316,9C1520,16C1156,END","2C1168,18X1320,11C894,21C798,12C790,19C814,7C926,21C1662,10C996,25C994,1C1554,15C3490,10C980,26C784,7C906,16C1554,5C1142,25C942,9C1016,24C842,3C1016,19C2072,14C3652,16C1028,8C942,23C3678,2C808,18C2138,8C2358,22C1070,14C992,17C976,4C1418,24C1272,13C2286,20X1450,5C866,26C920,6C1034,20C1086,END","16C1468,26C1186,25C1018,22C1720,16C782,23C1596,16C780,21C1072,19C876,18C800,24C896,17C874,24C914,17C708,25C812,21C936,15C768,20C884,18C768,15C880,23X1412,19C1046,26C884,15C804,20C838,26C1078,21C864,18C730,20C704,25C800,22C908,17C724,22X948,20C782,24C886,23C748,26C1122,15X1230,19C678,23C1078,END","8C3434,22C1082,13C2158,23X1666,7C1462,17C1176,3C1356,21C1578,6X1950,24C3646,14C2406,18C1880,2C1286,15C1150,10C1372,26X2290,1X3810,16C1722,12C2630,20C1132,END","11X2542,26C2752,5C1392,20C1090,1C2504,23X3394,10X2876,22C1690,7C2176,18C1240,4C1168,25C1316,8C1702,19C1096,13C1774,16C912,6X1370,17C1158,9C1972,17C944,13C1964,15C864,14C1822,22C1534,5C1128,20C956,11X1754,15C976,7C940,24C1098,2C890,19C992,4C1178,21C986,12X1338,25C1660,3C1370,23C4068,8C1130,21C964,END",,,,,,,,2.182,8.938,10.58,3,37,2,,,,,,anonymized,,1916312
242,12/23/20 8:55,12/23/20 8:59,0,100,246,1,12/23/20 8:59,R_1FPsZOptYda6658,anonymous,EN,0,0,25.269,0,,,,,,,,,,,,,,,"17C3086,20C73,21X227,23C65,19X264,26X709,15X266,24X238,23C98,18C112,26C198,25C26,24X262,17X313,18C362,16C95,22C113,15C148,21X437,16C67,END","13X2723,8X220,9C85,8X148,10X690,5C40,12X244,6C42,2C153,4C74,1C110,5C69,3C135,6C131,4C105,9X185,14X108,7X346,11X106,12C42,END","13X4810,20X573,6X352,19X117,4C59,15C237,2C345,21C357,10X104,18C93,3C49,26X192,1X269,17C141,8C58,25X237,12C71,23X103,11C79,22X219,END","5C1215,18C136,3X313,23C29,8X108,26C72,10C36,24C59,11C97,16X327,5C60,26X231,7X310,20C155,9C99,15C300,2C42,20C66,14X334,24C51,6X304,16C136,13C201,19C142,3C67,23X276,12C70,22C105,10X225,22X147,1C26,18C111,12X116,15C33,4C101,17C97,9X247,21C76,1X111,25X66,END","17X1251,20X189,23X429,24C116,22C130,19X161,17X240,18X351,22X337,16X159,21X347,26C143,15X195,20C98,24X342,16X278,23C66,26C61,21C119,25C164,15X257,20C148,22X388,17X264,25X383,19X199,19X144,18C76,16C153,25C22,17X343,21X427,18X210,26X378,15X268,22X357,24C98,25C148,23C276,16X267,END","8C720,15X273,1C18,20X191,5X318,25C101,7C75,18X180,10C37,19C169,6X248,23C139,13C153,22X307,11X219,21X280,9X308,26X710,3C106,16X189,END","4C727,25C103,6C84,20X233,10C56,17C71,13C83,26X292,9X181,17C73,7X262,20X200,5X300,21C6,8X215,24X276,14X152,21X306,5C112,19C53,1X271,18X318,3C18,18X188,12C126,25X260,12X259,23X317,7C140,15X276,9C159,26X227,2C72,24C140,6C118,22C180,13X268,19C107,11C143,16C107,END",,,,,,,,4.506,28.032,41.249,8,41,1,,no,very development this survey ,,,anonymized,,2449714
243,12/23/20 8:54,12/23/20 8:59,0,100,298,1,12/23/20 8:59,R_22J18saJEOdpBXl,anonymous,EN,0,0,7.061,0,,,,,,,,"25C1098,17C708,26C1088,17C649,20C931,25C886,22C1229,15C730,21C797,20C775,21C884,16C783,15C1335,24C1230,24C785,19C735,23C846,18C755,18C600,22C789,END","13X2377,7X2795,10X1737,11C1790,1X2239,5X2438,3C2066,8X1499,12C941,6C1156,2X1000,9X1016,10C485,2C1239,4X888,12C1321,14X1080,4X764,3C361,11X2089,END","10C1824,23C1028,6X1320,16C929,8X1327,18C872,12X1410,25C791,5C1068,15C837,13X1252,20C934,2C1300,24C1251,14X2061,21C857,7X1453,22C918,1C1231,17C1434,END","9X1273,20C868,5C711,25X990,2C1485,20C868,8X1160,25C765,1X1381,26C939,12X1107,16X1226,7C881,21C1176,11X1295,15C841,13X964,19C1401,14X1191,24C1029,12C865,19C771,9X1803,22C1039,2X1106,23C851,4X1110,21C828,13C832,24C1693,10C742,18C974,5C756,15C929,3C897,22C1318,7X1163,18C1069,6C571,17C754,END","21C1175,19C1001,25C784,17C1149,25C797,15C859,24C818,22C809,18C789,16X1531,24C891,23C1115,19C871,18C853,25C713,22C849,16C838,23C866,21C923,20C869,20C735,24C781,24C1102,22C885,26C841,17C818,16X1504,17X1271,15C1254,15C570,17C761,20C903,26C760,16C824,26C845,23C1223,18C737,21X1291,19C765,26C700,END","1C1114,19C852,2X1197,16C867,11C671,17C707,8C723,26C818,5C736,21C743,3C756,20C855,13C694,22C848,9X1254,15C880,12C856,25C1042,6C847,23C931,END","6C709,17C912,9C705,21C1113,2C547,24C1058,4X1136,16C685,13C711,24C854,11X1090,25C756,10C820,15X1430,4X1243,19C1108,11C663,16C770,5X1070,23C1175,3C672,26C666,7C644,17C803,12C626,19C674,3X1054,18C942,1X957,26X803,14C785,20C718,2X990,22C782,12C576,20C808,13C653,25C1003,8X1029,21C650,END",,,,,,,,,,,,,,,2.328,4.135,6.466,2,29,1,,,,,,anonymized,,4309280
244,12/23/20 8:53,12/23/20 8:59,0,100,387,1,12/23/20 8:59,R_2Vme1pONY3MwyIk,anonymous,EN,0,0,13.864,0,,,,,,,,,,,,,,,"17C1975,25C898,18C793,16C828,22C832,16C842,18C963,19C773,23C885,21C869,24C969,20C910,25C868,15C896,24C769,15C741,23C790,19C1000,26C829,26C680,END","6C1704,6X2828,11C2049,8C945,5C1476,2X2040,1X2233,9X1668,12C1597,14C1092,14C748,4C1665,7C1304,5C1238,1X1881,10X1840,11C1548,13C1145,8C753,3C1124,END","13C1088,18X1905,9C2933,20C1100,7C1883,19C779,5C976,15C808,4C1436,25C986,14C1617,23C1360,3C1837,26C881,1X1873,17C940,12C837,22C842,11C1454,21C769,END","12C967,25C706,13C946,19C1073,1X1400,18C832,8C885,17C862,9C917,26C739,11C877,21C757,4X1268,24C788,13C956,26C915,10C742,23C741,4X1184,20C792,12C801,15C824,5C1076,15C829,3X1370,24C817,6X1963,20X2489,7X1770,21C1562,14C868,16X1681,11C1354,22C744,5C880,17C1531,2C1282,16C881,2C756,22C787,END","18C784,22C779,19C724,22C749,25C877,21C825,20C754,26C948,25C988,23C1083,16C685,24C1369,23C779,15C810,24C940,25C697,26C747,24C718,18C681,21C1021,17C713,17C585,23C638,15C686,18C763,22C852,17C739,15C789,20C677,21C651,26C976,25C764,20X922,20C698,16C722,17C589,26C952,19C700,19C589,16C762,END","1C1416,21C1443,14X1828,20C1802,9C2205,22C1243,7C1491,25C1693,11C1477,16C1332,13X1596,26X2373,4C1192,17C892,5C1202,18C1196,2C1264,19C1172,8X1873,23C2338,END","9X2128,24C1577,3C1091,17C1320,10C1348,20C739,13X1745,24C1072,8X2009,19C1237,14X1707,22C1648,12X1785,15C1766,5C993,21C1316,8C1508,26C1253,1X1940,19C1277,14X1576,16C1128,11C955,26C125,11C1125,25C1821,1X2185,16C722,3C1021,17X1144,6C918,20C811,2C932,23C1337,7C1682,21C827,4C949,22C780,2C842,18C757,END",,,,,,,,3.121,9.964,12.257,4,32,1,,,,,,anonymized,,9423494
245,12/23/20 8:54,12/23/20 9:00,0,100,400,1,12/23/20 9:00,R_cYYZotUifq81k4N,anonymous,EN,0,0,10.112,0,"15X2524,24C1075,19C900,22C1240,15C861,17C767,23C909,21C808,18C755,20C776,26C867,17C711,16C751,16C599,18C708,26C905,25C738,21C911,23X1473,22C880,END","2C1318,5C1114,13C788,6X2399,6C1101,11C1102,5X1798,3C1383,9C961,3C737,12X2246,10C1323,7C1119,4C1420,8C1016,8C673,10C906,9C757,14C812,1X1341,END","11C1504,24C1043,8X1881,15C1447,9X2306,18C1620,13X2238,23C1503,6C1059,26X2112,3X2579,25C1649,12C782,17C902,1C1128,21C899,5X2516,19C1197,2X2099,16C1148,END","10X1777,26C1167,5C1286,22C993,7X2199,26C1590,2C1800,17C1369,7C2579,22C1196,9X3625,15C1512,2C1432,25C1201,1C1198,20C1320,3X1972,18C1159,14X4371,24C904,11X1793,20C1468,6C1345,21C885,14C1915,19C946,13X1849,18C1331,13X2028,15C1360,12C1580,23X2215,1C1448,21C923,4X2225,17C1176,9C2704,16C1240,8C1283,23C1408,END","23C2006,15C1003,19C1094,26C1455,26C764,17C897,24C971,16C1105,20C1005,25C874,17C1041,24C836,25C1092,19C981,26C993,15C1074,22C870,18C928,17C862,21C922,19C897,21C819,17C1359,15C1213,21C824,26C1415,20C840,24C1179,19C951,18C881,20C1144,23C909,25C1115,22C1172,21C871,23C1617,22C1070,16C1081,18C911,16C850,END","14C1615,16C798,11C2384,20C967,3C942,19C824,8X2605,15C1108,1C1465,25C1643,13C1527,26C1425,9C1052,18C988,5C1895,24C1195,2C1274,22C1147,4C1197,21C782,END","14C1260,25C790,8X1972,22C1288,4C1859,18C1111,9C1247,23C2146,7C1271,25C1228,7C1146,15C1055,12X1755,20C1088,12C1039,21C1111,3C1108,21C727,6X2322,19C999,8X2709,15X2693,11X2169,16C1128,6X1410,17C821,5C1079,26X2959,3C1732,23X1953,2C1188,24C1060,1X1787,20C1102,10C980,17C1167,13C753,26C1282,9C982,18C965,END",,,,,,,,,,,,,,,,,,,,,,2.974,10.14,11.474,3,51,2,,,,,,anonymized,,4942966
246,12/23/20 8:56,12/23/20 9:01,0,100,315,1,12/23/20 9:01,R_2ZBQOliDU1xkzhb,anonymous,EN,0,0,6.852,0,,,,,,,,,,,,,,,,,,,,,,"23C1846,26C1575,26C978,20C1147,24C1054,22C1268,15C917,19C828,17C705,23C682,21C1143,25C900,17C726,25C743,15C678,16C846,22C667,18C682,18C555,20C816,END","11C2427,9C1279,6C1951,8C824,10C1248,11C1077,13C1464,12X5555,7C1384,4C946,1X2394,5C1740,4C970,2C796,6C1385,14C1014,9C786,5C776,13C1121,3C987,END","9C1169,19C857,3C1033,26C2446,4C1462,25C1068,2C782,23C1851,7C1304,17C842,5C909,15C772,13C1030,21C898,11C974,18C834,8X2040,20C891,10C1945,22C734,END","12X1993,18C785,11C1224,19C719,3C727,16C897,4C1027,26C1272,5C983,23C919,2C742,15C752,13C1171,15C718,10C1293,17C660,13C714,20C640,9C651,23X1639,7C1165,26C852,14C1516,25X1147,6C1692,21C825,7C754,21C667,2C739,18C969,5C1019,22C739,9C1661,19C785,11X2123,24C1461,1C1030,17C708,8C802,25C692,END","20C1636,25C829,26C1805,19C659,21C730,20C641,16C818,21C686,22C689,17C629,15C688,20C689,15C613,22C767,26C713,25C811,19C622,16C794,16C601,20C678,25C646,24C827,19C772,22C701,24C681,22C651,21C810,17C654,26C1134,23C768,23C778,23C593,18C703,18C619,25C713,17C718,18C654,15C736,18C731,24C849,END","12C2927,16C883,3C2579,21C808,13C933,18C824,7C1296,25C868,2C845,23C1566,11C1704,20C673,4C1175,19C819,5C958,24C975,10C1465,17C696,9C1031,26C900,END","8C1276,25C1251,11C1097,23C931,5C957,22C755,4C2800,15C745,6C744,23C1010,2C804,26C1497,2C2262,18C782,4X1658,22C864,9C1172,16C1061,8C917,16C711,10C1668,18C745,14C873,24C864,13X2229,19C820,1C1927,17C823,10C2034,20C662,12C892,25C1119,7C754,19C723,9C749,21C756,3C1006,20C707,1C867,24C773,END",2.306,3.72,5.957,2,33,1,,,,,,anonymized,,3318794
